indicateur,valeur
Nombre total de vols,5819079.0
Vols en retard,1063439.0
Vols sans retard,4755640.0
Taux de retard (%),18.28
Retard moyen arrivee (min),4.33
Retard median arrivee (min),-5.0
Retard moyen depart (min),9.23
